earningsPerShare,hqzqdm,income,netAssets,netAssetsPerShare,netAssetsYield,netProfit,noDistributeProfit,nonDistributeProfit,profit,totalAssets,totalLiability
-0.02,833584,null,null,1.06,-0.0150,-1011042.02,,-7825586.84,-1131757.18,118202701.52,56704668.44
0.05,833586,null,null,2.83,0.0196,10604158.28,,172295234.17,10149519.38,713854915.24,113866400.78
0.07,833587,null,null,1.71,0.0355,1457344.20,,10079703.87,1809965.17,39836818.58,5459033.09
0.00,833588,null,null,1.15,0.0024,294112.86,,19724578.64,-1089637.26,605596444.13,376359988.30
-0.19,833589,null,null,0.60,-0.2667,-10748547.84,,-76869966.61,-10755147.84,41287006.96,6339103.52
0.01,833590,null,null,1.12,0.0016,431698.16,,2835341.85,57486.57,60248751.20,26610290.10
0.08,833591,null,null,1.92,0.0431,5449550.88,,12821259.20,5810344.06,194086027.43,67839695.16
-0.09,833592,null,null,1.12,-0.1004,-2598589.04,,-2489098.86,-3493181.05,74265323.29,40767793.03
0.35,833593,null,null,2.30,0.1700,14187542.76,,36760329.79,19126845.98,120899300.45,27192232.68
-0.07,833594,null,null,1.40,-0.0530,-8568364.31,,41227727.95,-8981897.95,169846619.98,5961665.58
0.04,833595,null,null,1.52,0.0252,2500533.76,,11077097.56,3009650.47,110692425.55,32372981.89
null,833597,null,null,null,null,null,,null,null,null,null
0.05,833598,null,null,1.47,0.0297,2989037.24,,6332732.68,2763858.47,168408375.62,73795784.50
0.25,833599,null,null,1.89,0.0992,2462822.22,,3852802.59,2576683.71,25207610.25,6341795.11
null,833600,null,null,null,null,null,,null,null,null,null
-0.08,833602,null,null,2.37,-0.0397,-4695957.57,,65282522.65,-7222553.41,320161385.37,179058334.91
0.07,833603,null,null,4.03,0.0081,787156.95,,8293148.30,659288.38,151631988.22,104610571.92
0.17,833604,null,null,4.00,0.0347,11113601.66,,68218860.72,9400593.32,275304439.17,10507853.73
-3.08,833605,null,null,-5.71,0.0000,-30812487.89,,-69303213.41,-30848368.72,37123802.32,94252521.58
0.18,833606,null,null,2.62,0.0533,2505312.22,,8095634.51,2211941.11,54355795.57,17721660.98
-0.04,833607,null,null,0.97,-0.0452,-582050.25,,-1294533.16,-669774.15,29306723.90,14785146.87
-0.04,833610,null,null,1.78,-0.0252,-3481211.57,,43275415.84,-3591063.68,347419437.49,187252290.41
0.20,833611,null,null,1.89,0.0874,4085289.79,,16090385.46,4308750.18,46311293.08,8430147.60
null,833612,null,null,1.89,-0.0615,-7340567.20,,76387956.65,-12357107.55,463088460.64,276256637.17
0.12,833613,null,null,1.19,0.0639,3707421.14,,5318222.50,4363172.95,55492792.34,18319552.94
-0.20,833614,null,null,1.83,-0.1046,-8687373.96,,-47248662.39,-8648793.02,131311417.82,53476894.48
-0.14,833615,null,null,0.86,-0.1542,-3559764.49,,-4886596.45,-4279292.79,48431809.19,26628562.87
0.06,833617,null,null,1.37,-0.0058,610849.34,,121714.25,-102933.84,24950692.57,11016174.99
-0.34,833618,null,null,1.77,-0.1700,-6725394.42,,-6843847.25,-6619277.73,37552148.03,2142275.04
0.12,833619,null,null,1.81,0.0300,3034467.33,,16025594.49,1715221.30,53060842.66,7687705.60
0.12,833620,null,null,4.44,0.0153,3055627.37,,9362670.15,68490.13,180619518.31,71386602.60
0.07,833621,null,null,3.59,0.0199,922247.77,,-4987870.63,1122618.07,84240955.02,35766241.26
0.03,833622,null,null,1.16,0.0245,849996.04,,3549273.30,454076.16,67857606.30,33036276.93
0.05,833625,null,null,1.59,0.0295,1179156.43,,10661628.67,482548.00,43783521.17,3945599.29
0.11,833628,null,null,2.08,0.0516,2413239.18,,6192719.57,2828894.93,65938974.79,18872476.86
